FID,id,geom,oid,sr_no,girth_cm,height_m,canopy_dia_m,condition,other_remarks,ownership,society_name,road_name,northing,easting,balanced,remarks,special_collar,ward_name,botanical_name,saar_uid,common_name,local_name,economic_i,phenology,flowering,ward,is_rare
trees_display.fid--1672c0a_16c6758e284_85d,18044522,POINT (73.78884974900006 18.555055780000025),,,28,4,3,Healthy,,Government,Pashan Forest,"Banner Road
",18.55505578,73.78884975,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029578,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
trees_display.fid--1672c0a_16c6758e284_85e,18044523,POINT (73.78873106100006 18.555021134000075),,,29,5,3,Healthy,,Government,Pashan Forest,"Banner Road
",18.55502113,73.78873106,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029580,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
trees_display.fid--1672c0a_16c6758e284_85f,18044524,POINT (73.78871060900006 18.55504719800005),,,28,4,3,Healthy,,Government,Pashan Forest,"Banner Road
",18.5550472,73.78871061,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029579,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
trees_display.fid--1672c0a_16c6758e284_860,18044525,POINT (73.7888138740001 18.555010327000048),,,29,5,3,Healthy,,Government,Pashan Forest,"Banner Road
",18.55501033,73.78881387,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029582,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
trees_display.fid--1672c0a_16c6758e284_861,18044526,POINT (73.78884371400004 18.555026538000043),,,29,5,3,Healthy,,Government,Pashan Forest,"Banner Road
",18.55502654,73.78884371,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029581,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
trees_display.fid--1672c0a_16c6758e284_862,18044527,POINT (73.78920078300007 18.555228053000064),,,28,4,3,Healthy,,Government,Pashan Forest,"Banner Road
",18.55522805,73.78920078,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029583,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
trees_display.fid--1672c0a_16c6758e284_863,18044528,POINT (73.78876961800007 18.555002063000067),,,28,4,3,Healthy,,Government,Pashan Forest,"Banner Road
",18.55500206,73.78876962,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029584,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
trees_display.fid--1672c0a_16c6758e284_864,18044529,POINT (73.78880348100003 18.555007785000033),,,29,5,3,Healthy,,Government,Pashan Forest,"Banner Road
",18.55500779,73.78880348,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029585,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
trees_display.fid--1672c0a_16c6758e284_865,18044530,POINT (73.78890976300004 18.555049105000002),,,29,5,3,Healthy,,Government,Pashan Forest,"Banner Road
",18.5550491,73.78890976,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029586,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
trees_display.fid--1672c0a_16c6758e284_866,18044531,POINT (73.78900364000006 18.555080254000064),,,29,5,3,Healthy,,Government,Pashan Forest,"Banner Road
",18.55508025,73.78900364,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029587,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
trees_display.fid--1672c0a_16c6758e284_867,18044532,POINT (73.78896541900006 18.55506754000003),,,28,4,3,Healthy,,Government,Pashan Forest,"Banner Road
",18.55506754,73.78896542,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029588,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
