fid,id,oid,sr_no,girth_cm,height_m,canopy_dia_m,condition,ownership,society_name,road_name,northing,easting,balanced,special_collar,ward_name,botanical_name,saar_uid,common_name,local_name,economic_i,phenology,flowering,ward,is_rare
trees_display.fid--1672c0a_16c6758e284_-72a,18040547,,,12,3,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50772739,73.90677977,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024570,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-729,18040548,,,12,2,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50772008,73.90676871,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024573,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-728,18040549,,,12,3,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50773057,73.90682336,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024571,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-727,18040550,,,12,2,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50771658,73.90677508,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024574,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-726,18040551,,,12,3,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50774424,73.90677474,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024575,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-725,18040552,,,12,3,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50770147,73.90678069,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024576,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-724,18040553,,,12,3,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50774329,73.90677072,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024577,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-723,18040554,,,12,3,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50771616,73.90679131,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024578,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-722,18040555,,,12,3,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50772771,73.90681598,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024579,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-721,18040556,,,10,2,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50771763,73.90678507,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024580,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-720,18040557,,,14,3,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50778112,73.90676301,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024581,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-71f,18040558,,,12,3,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50772867,73.9067909,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024582,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-71e,18040559,,,10,2,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50782309,73.90678212,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024583,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-71d,18040560,,,12,3,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50778049,73.9067848,True,nan,41,Pithecellobium dulce (Roxb.)Benth.,4024584,Manila Tamarind,Villayati Chinch,Timber wood,Seasonal,January-June,41,False
trees_display.fid--1672c0a_16c6758e284_-71c,18040561,,,14,3,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.5077409,73.90679376,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024585,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-71b,18040562,,,14,3,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.5077409,73.90679376,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024586,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-71a,18040563,,,12,3,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50782277,73.9068019,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024587,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-719,18040564,,,12,3,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50782691,73.90678883,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024588,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-718,18040565,,,12,3,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50779893,73.90678748,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024589,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-717,18040566,,,12,3,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50778907,73.90681665,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024590,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-716,18040567,,,10,2,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50779384,73.90679285,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024591,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-715,18040568,,,12,3,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50780878,73.90678246,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024592,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-714,18040569,,,12,3,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50779607,73.90680894,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024593,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-713,18040570,,,10,2,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50779988,73.90681364,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024594,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-712,18040571,,,10,2,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50781483,73.90679218,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024595,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-711,18040572,,,10,2,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50772931,73.90677729,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024596,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-710,18040573,,,12,2,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50781832,73.9067838,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024597,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
